stu_id, value
15233639, 0.007400
14311489, 0.000000
22233892, 0.374100
83249724, 0.005600
12710322, 0.007400
22648032, 0.005600
91944224, 0.029600
91388529, 0.020400
82344127, 0.037000
39289214, 0.000000
1249922, 0.040700
90601284, 0.116700
42920964, 0.009300
22301126, 0.013000
42399162, 0.064800
84032611, 0.044400
20273918, 0.000000
29333264, 0.020400
19329717, 0.000000
93336825, 0.035200
71279919, 0.001900
29303782, 0.003700
92324119, 0.011100
41271982, 0.001900
99824282, 0.101900
12799328, 0.001900
73277199, 0.053700
12321183, 0.000000
16362391, 0.003700
92434328, 0.000000
11080900, 0.022200
61631191, 0.001900
89029121, 0.001900
12692932, 0.027800
79624612, 0.040700
32738013, 0.111100
42121691, 0.114800
82663620, 0.001900
78953699, 0.118500
21392220, 0.013000
32691479, 0.129600
78222972, 0.029600
71481299, 0.040700
76192623, 0.003700
77297429, 0.579600
9784846, 0.022200
18918829, 0.011100
43426122, 0.000000
17864429, 0.014800
31343949, 0.000000
89380491, 0.005600
27823332, 0.003700
96211346, 0.003700
38373631, 0.000000
62932771, 0.001900
21632224, 0.014800
67213321, 0.003700
39234306, 0.101900
78491088, 0.042600
26236790, 0.133300
62912129, 0.009300
79213484, 0.005600
93261083, 0.000000
28723469, 0.003700
78227293, 0.035200
42832791, 0.138900
21138360, 0.003700
31292093, 0.014800
68394917, 0.022200
41976719, 0.088900
91117746, 0.001900
99112271, 0.018500
99226354, 0.000000
94662369, 0.001900
76678071, 0.011100
12221767, 0.575900
52482199, 0.020400
42930429, 0.003700
22226939, 0.044400
28232379, 0.020400
21912912, 0.007400
38270312, 0.011100
6239894, 0.000000
89187372, 0.000000
13108213, 0.000000
93529131, 0.048100
